iter	RMSE
370	4.359266366
371	4.354623834
372	4.354442584
373	4.350366045
374	4.346160106
375	4.341726396
376	4.338256361
377	4.334839294
378	4.330970206
379	4.330772343
380	4.327001701
381	4.32482704
382	4.321485087
383	4.314933698
384	4.309738895
385	4.308684762
386	4.30545047
387	4.299661825
388	4.295138081
389	4.28970563
390	4.289538025
391	4.286506691
392	4.283464685
393	4.279938353
394	4.277277761
395	4.276293246
396	4.273368188
397	4.269031259
398	4.267059567
399	4.263401955
400	4.260639768
401	4.256993914
402	4.254777371
403	4.252178031
404	4.250393912
405	4.24853555
406	4.247541163
407	4.244474213
408	4.243576045
409	4.239638465
410	4.235004892
411	4.232048663
412	4.228322989
413	4.22496603
414	4.223141811
415	4.221402162
416	4.218926777
417	4.217114329
418	4.213341385
419	4.210283312
420	4.204575785
421	4.202170863
422	4.200795913
423	4.196541485
424	4.194757549
425	4.191082989
426	4.188984421
427	4.188091489
428	4.185265148
429	4.180267797
430	4.177475651
431	4.171807607
432	4.16906623
433	4.16624082
434	4.165001244
435	4.16317973
436	4.162092293
437	4.16029551
438	4.16011391
439	4.156748744
440	4.153249009
441	4.153085168
442	4.149988018
443	4.146599168
444	4.14642535
445	4.14299577
446	4.140102001
447	4.13669205
448	4.132751439
449	4.131251212
450	4.12797201
451	4.127124165
452	4.120942887
453	4.118112287
454	4.114374288
455	4.111008541
456	4.109391467
457	4.106342693
458	4.104780637
459	4.104607966
460	4.103872392
461	4.10193907
462	4.099701246
463	4.094402707
464	4.091500084
465	4.088342437
466	4.084059668
467	4.082329791
468	4.081226595
469	4.077676683
470	4.07750866
471	4.075694914
472	4.073538152
473	4.07080151
474	4.068473624
475	4.064901567
476	4.061615797
477	4.060028324
478	4.055611324
479	4.052459093
480	4.049593933
481	4.047145461
482	4.043516698
483	4.042461263
484	4.036910904
485	4.035787391
486	4.032758634
487	4.029797696
488	4.027505688
489	4.026477111
490	4.022640349
491	4.018361048
492	4.015112331
493	4.011355421
494	4.008572209
495	4.005899923
496	4.001115519
497	4.000980513
498	4.000133592
499	3.997708528
500	3.994758521
501	3.992441235
502	3.990631105
503	3.989201779
504	3.986152068
505	3.983309738
506	3.981585082
507	3.978559098
508	3.978320201
509	3.978172551
510	3.975040857
511	3.974198669
512	3.972710171
513	3.9708519
514	3.966746205
515	3.964514565
516	3.961441054
517	3.958801938
518	3.956754219
519	3.95377303
520	3.950351094
521	3.948787672
522	3.946058755
523	3.943701009
524	3.941352742
525	3.939023587
526	3.938404829
527	3.935842128
528	3.933248287
529	3.930991941
530	3.929130145
531	3.925593469
532	3.925446452
533	3.922456801
534	3.919754549
535	3.917024007
536	3.913660924
537	3.911216458
538	3.908200878
539	3.904213517
540	3.902064325
541	3.900576762
542	3.898193717
543	3.897403481
544	3.896133359
545	3.892038862
546	3.887917476
547	3.886946611
548	3.886225166
549	3.886089705
550	3.883179721
551	3.881243696
552	3.878383105
553	3.875431811
554	3.874412989
555	3.869550148
556	3.867585342
557	3.863347842
558	3.859661571
559	3.858687309
560	3.854759362
561	3.85214205
562	3.848045218
563	3.845504314
564	3.842088296
565	3.839997754
566	3.838434715
567	3.835718838
568	3.834106095
569	3.832572357
570	3.831137358
571	3.830504876
572	3.829728655
573	3.826776703
574	3.824016224
575	3.822274472
576	3.819580197
577	3.81821368
578	3.816568622
579	3.81264276
580	3.810627927
581	3.807510813
582	3.807378731
583	3.804445384
584	3.802804479
585	3.800444421
586	3.797472732
587	3.795874622
588	3.793272425
589	3.790729315
590	3.787382806
591	3.787256098
592	3.784067802
593	3.781148
594	3.778555505
595	3.776130363
596	3.776014938
597	3.774414134
598	3.774199185
599	3.771951639
600	3.767030376
601	3.764765801
602	3.763833568
603	3.761150902
604	3.75764782
605	3.755652973
606	3.753008083
607	3.749543209
608	3.747215104
609	3.744435507
610	3.742724078
611	3.741692528
612	3.741496452
613	3.737935913
614	3.73558401
615	3.732935438
616	3.72936285
617	3.729241311
618	3.728626841
619	3.725363746
620	3.722338302
621	3.720232429
622	3.718399122
623	3.718279032
624	3.716598713
625	3.716403251
626	3.714706293
627	3.712911885
628	3.71044579
629	3.709004703
630	3.705292407
631	3.704526334
632	3.702318858
633	3.700017553
634	3.698026127
635	3.695569622
636	3.69268768
637	3.689371912
638	3.6882932
639	3.685624898
640	3.68305277
641	3.682290741
642	3.679851268
643	3.678273419
644	3.676720801
645	3.676157558
646	3.675555031
647	3.673817428
648	3.671927087
649	3.67035954
650	3.66988188
651	3.66760264
652	3.667487732
653	3.664344542
654	3.66303805
655	3.661808368
656	3.660908428
657	3.659235207
658	3.655856246
659	3.654669773
660	3.653914531
661	3.653809455
662	3.653688467
663	3.651927444
664	3.650624569
665	3.648007499
666	3.646418203
667	3.644081975
668	3.643606767
669	3.640326466
670	3.636847591
671	3.634517353
672	3.631932121
673	3.630685741
674	3.629895027
675	3.627820188
676	3.627262572
677	3.62556114
678	3.625098713
679	3.624918226
680	3.624332198
681	3.62107088
682	3.620552398
683	3.61743391
684	3.616886927
685	3.616784237
686	3.615652374
687	3.613600276
688	3.613484946
689	3.611668864
690	3.609948674
691	3.607973708
692	3.606439501
693	3.604596485
694	3.603265081
695	3.60201172
696	3.600463748
697	3.600319599
698	3.597803932
699	3.597504639
700	3.594265144
701	3.591893059
702	3.589838193
703	3.589732668
704	3.587921959
705	3.587330056
706	3.584237604
707	3.580760795
708	3.580468941
709	3.578713891
710	3.577373199
711	3.575163794
712	3.57402495
713	3.571954302
714	3.567725459
715	3.566057243
716	3.564650633
717	3.561677524
718	3.559312022
719	3.557432059
720	3.555563924
721	3.555089203
722	3.553691623
723	3.550409061
724	3.550117618
725	3.547847323
726	3.54675397
727	3.542755115
728	3.541423388
729	3.541161592
730	3.539364097
731	3.537223449
732	3.536882695
733	3.533572079
734	3.531646788
735	3.531518725
736	3.530335646
737	3.528762763
738	3.528675333
739	3.525724028
740	3.524147271
741	3.520741335
742	3.518325076
743	3.518236162
744	3.517819587
745	3.515822825
746	3.51421943
747	3.513638976
748	3.511429888
749	3.511261001
750	3.510712837
751	3.507451274
752	3.505508339
753	3.503644226
754	3.502882376
755	3.502712759
756	3.500722683
757	3.500593688
758	3.498370788
759	3.496934712
760	3.49582152
761	3.494577301
762	3.493070807
763	3.49134773
764	3.489643968
765	3.487922459
766	3.485978343
767	3.483675632
768	3.482132362
769	3.479783286
770	3.47661991
771	3.474581294
772	3.472863716
773	3.47279667
774	3.472723068
775	3.46968087
776	3.469420117
777	3.467044003
778	3.466341686
779	3.465763858
780	3.464302406
781	3.462433688
782	3.462351043
783	3.46034552
784	3.457280574
785	3.455290702
786	3.454458075
787	3.452072736
788	3.449960416
789	3.446697776
790	3.445170224
791	3.445113927
792	3.44465558
793	3.442650752
794	3.440164356
795	3.438422849
796	3.437831163
797	3.434892952
798	3.433721372
799	3.432066845
800	3.42919419
801	3.428627631
802	3.42712729
803	3.425759293
804	3.425489976
805	3.423050471
806	3.422542924
807	3.421138302
808	3.419041668
809	3.417414252
810	3.415206671
811	3.41252247
812	3.412267835
813	3.411466846
814	3.411185516
815	3.410464535
816	3.408083984
817	3.407882613
818	3.405683601
819	3.404247735
820	3.403846551
821	3.40378219
822	3.40204077
823	3.399297791
824	3.396760349
825	3.396676368
826	3.3962338
827	3.394906429
828	3.394692913
829	3.394486941
830	3.391804353
831	3.391586106
832	3.389646074
833	3.389385848
834	3.387037939
835	3.385326902
836	3.383249599
837	3.380750358
838	3.37889359
839	3.377273775
840	3.376984237
841	3.376248865
842	3.374798896
843	3.372642722
844	3.370233664
845	3.36993972
846	3.369818849
847	3.36803314
848	3.365312477
849	3.364442878
850	3.364068553
851	3.361599067
852	3.359667233
853	3.3592487
854	3.357355254
855	3.355428901
856	3.355241067
857	3.354416046
858	3.353904509
859	3.351272546
860	3.348274944
861	3.345926877
862	3.344071546
863	3.341024377
864	3.339648064
865	3.336640537
866	3.335637482
867	3.335584551
868	3.333952357
869	3.331896123
870	3.3311723
871	3.330067882
872	3.32903333
873	3.327925018
874	3.327439433
875	3.327416101
876	3.324913601
877	3.322707527
878	3.32107511
879	3.32100437
880	3.320903771
881	3.320202176
882	3.320016905
883	3.31937634
884	3.318322961
885	3.317051541
886	3.314927255
887	3.314741895
888	3.314662132
889	3.312172254
890	3.310445648
891	3.309840032
892	3.308105883
893	3.307830147
894	3.307173314
895	3.307135684
896	3.303831889
897	3.30312597
898	3.302659389
899	3.301759726
900	3.299042028
901	3.29773965
902	3.295252544
903	3.293867316
904	3.293816441
905	3.291241294
906	3.289412876
907	3.288204134
908	3.287878511
909	3.286691014
910	3.284605225
911	3.283211311
912	3.283009644
913	3.282163962
914	3.281709916
915	3.279289617
916	3.276747545
917	3.27671254
918	3.273028015
919	3.272153614
920	3.269591455
921	3.268249513
922	3.266459554
923	3.262992691
924	3.260912434
925	3.258004745
926	3.256338721
927	3.255137528
928	3.253655166
929	3.253352664
930	3.251974243
931	3.25001948
932	3.24889522
933	3.24763403
934	3.246365425
935	3.245266968
936	3.24356042
937	3.241918264
938	3.23979719
939	3.237756903
940	3.237602601
941	3.235913335
942	3.235651598
943	3.235610472
944	3.234165472
945	3.23360949
946	3.23253195
947	3.23163223
948	3.231605809
949	3.231118534
950	3.229203511
951	3.229165802
952	3.228541492
953	3.228500828
954	3.227572834
955	3.225386507
956	3.222150308
957	3.221159674
958	3.220972641
959	3.220448999
960	3.219413658
961	3.218007088
962	3.21664504
963	3.214895009
964	3.213782123
965	3.212791205
966	3.212424152
967	3.210987
968	3.210247048
969	3.209093191
970	3.20623102
971	3.2057315
972	3.204949735
973	3.202942185
974	3.201521668
975	3.200520981
976	3.199401884
977	3.199153482
978	3.198962671
979	3.198914408
980	3.197399995
981	3.197121163
982	3.195950394
983	3.195288028
984	3.19504289
985	3.194312181
986	3.193094861
987	3.191668747
988	3.190658488
989	3.190618701
990	3.190288937
991	3.188638024
992	3.188132562
993	3.186241878
994	3.184840952
995	3.182631652
996	3.180995545
997	3.180678984
998	3.179247127
999	3.177652517
